Date,Close,High,Low,Open,Volume
2021-10-08T00:00:00.000,17895.19922,17941.84961,17840.34961,17886.84961,324100
2021-10-11T00:00:00.000,17945.94922,18041.94922,17839.09961,17867.55078,375800
2021-10-12T00:00:00.000,17991.94922,18008.65039,17864.94922,17915.80078,355600
2021-10-13T00:00:00.000,18161.75,18197.80078,18050.75,18097.84961,506700
2021-10-14T00:00:00.000,18338.55078,18350.75,18248.69922,18272.84961,538700
2021-10-18T00:00:00.000,18477.05078,18543.15039,18445.30078,18500.09961,469900
2021-10-19T00:00:00.000,18418.75,18604.44922,18377.69922,18602.34961,368200
2021-10-20T00:00:00.000,18266.59961,18458.30078,18209.34961,18439.90039,371300
2021-10-21T00:00:00.000,18178.09961,18384.19922,18048,18382.69922,365900
2021-10-22T00:00:00.000,18114.90039,18314.25,18034.34961,18230.69922,324700
2021-10-25T00:00:00.000,18125.40039,18241.40039,17968.5,18229.5,418700
2021-10-26T00:00:00.000,18268.40039,18310.44922,18099.30078,18154.5,341400
2021-10-27T00:00:00.000,18210.94922,18342.05078,18167.90039,18295.84961,335200
2021-10-28T00:00:00.000,17857.25,18190.69922,17799.44922,18187.65039,374200
2021-10-29T00:00:00.000,17671.65039,17915.84961,17613.09961,17833.05078,336500
2021-11-01T00:00:00.000,17929.65039,17954.09961,17697.09961,17783.15039,281200
2021-11-02T00:00:00.000,17888.94922,18012.25,17847.59961,17970.90039,296400
2021-11-03T00:00:00.000,17829.19922,17988.75,17757.94922,17947.94922,331000
2021-11-04T00:00:00.000,17916.80078,17947.55078,17900.59961,17935.05078,48500
2021-11-08T00:00:00.000,18068.55078,18087.80078,17836.09961,18040.19922,338900
2021-11-09T00:00:00.000,18044.25,18112.59961,17983.05078,18084.34961,270200
2021-11-10T00:00:00.000,18017.19922,18061.25,17915,17973.44922,261400
2021-11-11T00:00:00.000,17873.59961,17971.34961,17798.19922,17967.44922,232100
2021-11-12T00:00:00.000,18102.75,18123,17905.90039,17977.59961,249100
2021-11-15T00:00:00.000,18109.44922,18210.15039,18071.30078,18140.94922,280400
2021-11-16T00:00:00.000,17999.19922,18132.65039,17958.80078,18127.05078,267400
2021-11-17T00:00:00.000,17898.65039,18022.65039,17879.25,17939.34961,295700
2021-11-18T00:00:00.000,17764.80078,17945.59961,17688.5,17890.55078,278400
2021-11-22T00:00:00.000,17416.55078,17805.25,17280.44922,17796.25,356400
2021-11-23T00:00:00.000,17503.34961,17553.69922,17216.09961,17281.75,308800
2021-11-24T00:00:00.000,17415.05078,17600.59961,17354,17550.05078,298100
2021-11-25T00:00:00.000,17536.25,17564.34961,17351.69922,17417.30078,255900
2021-11-26T00:00:00.000,17026.44922,17355.40039,16985.69922,17338.75,356300
2021-11-29T00:00:00.000,17053.94922,17160.69922,16782.40039,17055.80078,348900
2021-11-30T00:00:00.000,16983.19922,17324.65039,16931.40039,17051.15039,498000
2021-12-01T00:00:00.000,17166.90039,17213.05078,17064.25,17104.40039,295500
2021-12-02T00:00:00.000,17401.65039,17420.34961,17149.30078,17183.19922,279900
2021-12-03T00:00:00.000,17196.69922,17489.80078,17180.80078,17424.90039,292500
2021-12-06T00:00:00.000,16912.25,17216.75,16891.69922,17209.05078,231700
2021-12-07T00:00:00.000,17176.69922,17251.65039,16987.75,17044.09961,254100
2021-12-08T00:00:00.000,17469.75,17484.59961,17308.94922,17315.25,257800
2021-12-09T00:00:00.000,17516.84961,17543.25,17379.59961,17524.40039,237200
2021-12-10T00:00:00.000,17511.30078,17534.34961,17405.25,17476.05078,204500
2021-12-13T00:00:00.000,17368.25,17639.5,17355.94922,17619.09961,256600
2021-12-14T00:00:00.000,17324.90039,17376.19922,17225.80078,17283.19922,271000
2021-12-15T00:00:00.000,17221.40039,17351.19922,17192.19922,17323.65039,215000
2021-12-16T00:00:00.000,17248.40039,17379.34961,17184.94922,17373,219500
2021-12-17T00:00:00.000,16985.19922,17298.15039,16966.44922,17276,354600
2021-12-20T00:00:00.000,16614.19922,16840.09961,16410.19922,16824.25,330600
2021-12-21T00:00:00.000,16770.84961,16936.40039,16688.25,16773.15039,241000
2021-12-22T00:00:00.000,16955.44922,16971,16819.5,16865.55078,207900
2021-12-23T00:00:00.000,17072.59961,17118.65039,17015.55078,17066.80078,197000
2021-12-24T00:00:00.000,17003.75,17155.59961,16909.59961,17149.5,182600
2021-12-27T00:00:00.000,17086.25,17112.05078,16833.19922,16937.75,144800
2021-12-28T00:00:00.000,17233.25,17250.25,17161.15039,17177.59961,176000
2021-12-29T00:00:00.000,17213.59961,17285.94922,17176.65039,17220.09961,161700
2021-12-30T00:00:00.000,17203.94922,17264.05078,17146.34961,17201.44922,320800
2021-12-31T00:00:00.000,17354.05078,17400.80078,17238.5,17244.5,167000
2022-01-03T00:00:00.000,17625.69922,17646.65039,17383.30078,17387.15039,200500
2022-01-04T00:00:00.000,17805.25,17827.59961,17593.55078,17681.40039,247400
2022-01-05T00:00:00.000,17925.25,17944.69922,17748.84961,17820.09961,251500
2022-01-06T00:00:00.000,17745.90039,17797.94922,17655.55078,17768.5,236500
2022-01-07T00:00:00.000,17812.69922,17905,17704.55078,17797.59961,239300
2022-01-10T00:00:00.000,18003.30078,18017.44922,17879.15039,17913.30078,232400
2022-01-11T00:00:00.000,18055.75,18081.25,17964.40039,17997.75,220200
2022-01-12T00:00:00.000,18212.34961,18227.94922,18128.80078,18170.40039,245000
2022-01-13T00:00:00.000,18257.80078,18272.25,18163.80078,18257,303700
2022-01-14T00:00:00.000,18255.75,18286.94922,18119.65039,18185,229500
2022-01-17T00:00:00.000,18308.09961,18321.55078,18228.75,18235.65039,266700
2022-01-18T00:00:00.000,18113.05078,18350.94922,18085.90039,18337.19922,227500
2022-01-19T00:00:00.000,17938.40039,18129.19922,17884.90039,18129.19922,276700
2022-01-20T00:00:00.000,17757,17943.69922,17648.44922,17921,258100
2022-01-21T00:00:00.000,17617.15039,17707.59961,17485.84961,17613.69922,277600
2022-01-24T00:00:00.000,17149.09961,17599.40039,16997.84961,17575.15039,323800
2022-01-25T00:00:00.000,17277.94922,17309.15039,16836.80078,17001.55078,326500
2022-01-27T00:00:00.000,17110.15039,17182.5,16866.75,17062,395600
2022-01-28T00:00:00.000,17101.94922,17373.5,17077.09961,17208.30078,355300
2022-01-31T00:00:00.000,17339.84961,17410,17264.15039,17301.05078,321700
2022-02-01T00:00:00.000,17576.84961,17622.40039,17244.55078,17529.44922,386400
2022-02-02T00:00:00.000,17780,17794.59961,17674.80078,17706.19922,271200
2022-02-03T00:00:00.000,17560.19922,17781.15039,17511.15039,17767.75,226600
2022-02-04T00:00:00.000,17516.30078,17617.80078,17462.55078,17590.19922,261400
2022-02-07T00:00:00.000,17213.59961,17536.75,17119.40039,17456.30078,265000
2022-02-08T00:00:00.000,17266.75,17306.44922,17043.65039,17279.84961,268500
2022-02-09T00:00:00.000,17463.80078,17477.15039,17339,17370.09961,236400
2022-02-10T00:00:00.000,17605.84961,17639.44922,17427.15039,17554.09961,273600
2022-02-11T00:00:00.000,17374.75,17454.75,17303,17451,253100
2022-02-14T00:00:00.000,16842.80078,17099.5,16809.65039,17076.15039,305500
2022-02-15T00:00:00.000,17352.44922,17375,16839.25,16933.25,298700
2022-02-16T00:00:00.000,17322.19922,17490.59961,17257.69922,17408.44922,244500
2022-02-17T00:00:00.000,17304.59961,17442.90039,17235.84961,17396.55078,232100
2022-02-18T00:00:00.000,17276.30078,17380.80078,17219.19922,17236.05078,189600
2022-02-21T00:00:00.000,17206.65039,17351.05078,17070.69922,17192.25,215200
2022-02-22T00:00:00.000,17092.19922,17148.55078,16843.80078,16847.94922,300100
2022-02-23T00:00:00.000,17063.25,17220.69922,17027.84961,17194.5,200200
2022-02-24T00:00:00.000,16247.9502,16705.25,16203.25,16548.90039,458000
2022-02-25T00:00:00.000,16658.40039,16748.80078,16478.30078,16515.65039,329800
2022-02-28T00:00:00.000,16793.90039,16815.90039,16356.2998,16481.59961,404200
2022-03-02T00:00:00.000,16605.94922,16678.5,16478.65039,16593.09961,517700
2022-03-03T00:00:00.000,16498.05078,16768.94922,16442.94922,16723.19922,442100
2022-03-04T00:00:00.000,16245.34961,16456,16133.7998,16339.4502,456100
2022-03-07T00:00:00.000,15863.15039,15944.59961,15711.4502,15867.9502,585400
2022-03-08T00:00:00.000,16013.4502,16028.75,15671.4502,15747.75,543600
2022-03-09T00:00:00.000,16345.34961,16418.05078,15990,16078,462200
2022-03-10T00:00:00.000,16594.90039,16757.30078,16447.90039,16757.09961,486400
2022-03-11T00:00:00.000,16630.44922,16694.40039,16470.90039,16528.80078,343700
2022-03-14T00:00:00.000,16871.30078,16887.94922,16606.5,16633.69922,314700
2022-03-15T00:00:00.000,16663,16927.75,16555,16900.65039,381600
2022-03-16T00:00:00.000,16975.34961,16987.90039,16837.84961,16876.65039,260000
2022-03-17T00:00:00.000,17287.05078,17344.59961,17175.75,17202.90039,448300
2022-03-21T00:00:00.000,17117.59961,17353.34961,17096.40039,17329.5,285500
2022-03-22T00:00:00.000,17315.5,17334.40039,17006.30078,17120.40039,338300
2022-03-23T00:00:00.000,17245.65039,17442.40039,17199.59961,17405.05078,292100
2022-03-24T00:00:00.000,17222.75,17291.75,17091.15039,17094.94922,290300
